2025-08-30 11:57:28 | [INFO] | <module> | Process started at : 2025-08-30 11:57:28.800370
2025-08-30 11:57:28 | [DEBUG] | add_sourcePath | Added to sourcePath list : 'C:\VS_Managed_Accounts\KSXIX'
2025-08-30 11:57:28 | [WARNING] | collectSourceFiles | Excluding File from collection : 'C:\VS_Managed_Accounts\KSXIX\README.md' File is not correct File Format : '*.md'
2025-08-30 11:57:28 | [WARNING] | collectSourceFiles | Excluding File from collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\config.json' File is not correct File Format : '*.json'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PAAIM_CYCADATE.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PACLM_DEC_31ST.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PACLM_DSYADAP.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PACLM_PARM_UPD.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PADUR_FEDFISCAL.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PBCLM_ENC_D_RPT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PBPA_DIAG_R_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PBPA_PROC_R_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5CLM_FEB_W_CL.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5CLM_RSUB_MON.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5CLM_WFM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DP002.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD10.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD13.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD14.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD16.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD17.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5DUR_DPD19.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD5SYS_CCCM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7AIM_CYCDATE.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7BPA_LOAD.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7BPA_RULE_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_277.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_ADAP.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_BA_SPLIT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_CC_LOAD.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_CTD205.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_CYC_SUM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_D300.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_D350.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_DNDY.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_DRPT_PRM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_ENC_6AM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_ENC_NCP.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_ENC_NCP2.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_EXTR.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_E_Q_RPT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PD7CLM_GIO_EXTR.jil'
